,Year,Code,ROA,HHI,DF,IBI,CAR,CIR,NPL,GDP
0,2010,601398.SH,1.3154,0.31739262555,0.0795029387109616,0.21004900640853,0.060959,0.436777383600169,1.08,0.1082
1,2011,601398.SH,1.4408,0.35793950955,0.14731662762776,0.235294752101058,0.061818,0.429730605579802,0.94,0.0947
2,2012,601398.SH,1.4458,0.334669099488,0.217190335748326,0.223053543552619,0.064131,0.427393867155854,0.85,0.0787
3,2013,601398.SH,1.4425,0.352117939518,0.893340815547217,0.241701231769116,0.067351,0.42838390399517,0.94,0.0777
4,2014,601398.SH,1.3979,0.347225980152,1.56235193743528,0.238532617357111,0.074278,0.454217079582086,1.13,0.0741
5,2015,601398.SH,1.2972,0.358395416862,2.35481846285735,0.252143697109401,0.080571,0.484646246597491,1.5,0.0703
6,2016,601398.SH,1.2044,0.379175534958,4.44540837580397,0.273479553039234,0.081606,0.466903687132985,1.62,0.0687
7,2017,601398.SH,1.1447,0.363505234872,5.93781364948109,0.24659940069877,0.081554,0.501939430311272,1.55,0.0695
8,2018,601398.SH,1.1108,0.328004182968,6.87737052673077,0.234313276939308,0.084117,0.520299461481101,1.52,0.0672
9,2019,601398.SH,1.0841,0.339999674702,7.509273836946,0.230771299230543,0.088882,0.543282925848141,1.43,0.0582
10,2010,601939.SH,1.3217,0.336832148718,0.0989795211370767,0.21510018715067,0.064456,0.463029654795063,1.14,0.1082
11,2011,601939.SH,1.4675,0.354966868958,0.185640027377019,0.228290537679392,0.066044,0.451832078370143,1.09,0.0947
12,2012,601939.SH,1.4748,0.343922685368,0.27267207468667,0.21491671859888,0.067397,0.456780959574256,0.99,0.0787
13,2013,601939.SH,1.4666,0.344112588288,1.1000305274744,0.218100170327317,0.069383,0.453465144079527,0.99,0.0777
14,2014,601939.SH,1.4218,0.33170138555,1.92306199247139,0.206977691965825,0.074186,0.478943678019878,1.19,0.0741
15,2015,601939.SH,1.3044,0.331999460832,2.85021561090884,0.214394320680247,0.07815,0.510754349410192,1.58,0.0703
16,2016,601939.SH,1.1822,0.372873028152,5.1183700591093,0.23868975726497,0.075201,0.516784280024459,1.52,0.0687
17,2017,601939.SH,1.1308,0.35797148955,7.00132518949794,0.233551016923832,0.080443,0.520338320526205,1.49,0.0695
18,2018,601939.SH,1.1274,0.347229296718,8.2031829814053,0.227090912381676,0.085109,0.531767773425347,1.46,0.0672
19,2019,601939.SH,1.1066,0.359810638968,8.88888504485781,0.239793168314844,0.08713,0.536648862220799,1.42,0.0582
20,2010,601288.SH,0.9876,0.2747318558,0.103507591749806,0.166170795855394,0.052438,0.588765159184348,2.03,0.1082
21,2011,601288.SH,1.1079,0.301396250232,0.19524598296376,0.189691159114718,0.055628,0.585053914028766,1.55,0.0947
22,2012,601288.SH,1.1647,0.304683749982,0.287670010333469,0.187070554119109,0.056614,0.556902958546227,1.33,0.0787
23,2013,601288.SH,1.1955,0.300832412478,1.16054673974952,0.195454495930619,0.057897,0.539557957308835,1.22,0.0777
24,2014,601288.SH,1.1757,0.2791401278,2.01575645455233,0.17106879307962,0.064546,0.556608519020539,1.54,0.0741
25,2015,601288.SH,1.0708,0.286144615992,2.93962367083904,0.172656956533353,0.068016,0.565675310723505,2.39,0.0703
26,2016,601288.SH,0.9853,0.312659449728,5.48286487201036,0.205988897492844,0.067358,0.556150398406374,2.37,0.0687
27,2017,601288.SH,0.9508,0.238153760222,7.35748774234942,0.168050712653919,0.067752,0.561750406393553,1.81,0.0695
28,2018,601288.SH,0.9282,0.283211263422,8.42567258650147,0.159832980865447,0.073876,0.581989615561956,1.59,0.0672
29,2019,601288.SH,0.8968,0.297595513742,9.08824594361155,0.174123306704891,0.078315,0.575452597613779,1.4,0.0582
30,2010,601988.SH,1.1419,0.379554735182,0.102295775327884,0.250539463329187,0.061584,0.486436887907896,1.1,0.1082
31,2011,601988.SH,1.1693,0.404365112832,0.19272927133289,0.241818282288256,0.061129,0.486421506188941,1.0,0.0947
32,2012,601988.SH,1.1892,0.392936771678,0.300458613403214,0.234250006230219,0.065034,0.48756456727972,0.95,0.0787
33,2013,601988.SH,1.2332,0.3990917112,1.21807955846995,0.248290262907114,0.066592,0.47929611197817,0.96,0.0777
34,2014,601988.SH,1.2168,0.390490807982,2.1112840790428,0.248060961702578,0.074804,0.493966002748005,1.18,0.0741
35,2015,601988.SH,1.119,0.384728949048,3.110207743442,0.249764851485149,0.077603,0.514303604520989,1.43,0.0703
36,2016,601988.SH,1.0528,0.415138711662,5.91220762879755,0.25275002120839,0.077783,0.545084051857825,1.46,0.0687
37,2017,601988.SH,0.9835,0.377292392382,7.95688222540383,0.255949297662939,0.076847,0.540163218685725,1.45,0.0695
38,2018,601988.SH,0.9448,0.376234934712,8.95742402352911,0.240204756677292,0.075843,0.546752971095422,1.42,0.0672
39,2019,601988.SH,0.9169,0.395102427422,9.92984374352211,0.235675857808727,0.081323,0.545620577513465,1.37,0.0582
40,2010,601328.SH,1.079,0.282887177118,0.270776874035357,0.168546978176542,0.056375,0.523188211140319,1.12,0.1082
41,2011,601328.SH,1.1869,0.297104033838,0.494450766040861,0.181232906551783,0.058944,0.488830776016888,0.86,0.0947
42,2012,601328.SH,1.1831,0.282929348382,0.722496903787875,0.168969695271846,0.072045,0.495204870467025,0.92,0.0787
43,2013,601328.SH,1.112,0.303950556158,2.83512474632763,0.186183010839834,0.070385,0.51642898409706,1.05,0.0777
44,2014,601328.SH,1.08,0.33666529875,5.1369598036086,0.194483508431912,0.075149,0.52738710604788,1.25,0.0741
45,2015,601328.SH,0.9957,0.33764688555,7.3092039228763,0.211109025047489,0.074753,0.557793507645954,1.51,0.0703
46,2016,601328.SH,0.8696,0.359619951288,12.7689968281003,0.229529706958864,0.07487,0.558067405723635,1.52,0.0687
47,2017,601328.SH,0.8106,0.387501730878,17.1382658641813,0.258651560069271,0.074256,0.576181948972252,1.5,0.0695
48,2018,601328.SH,0.7988,0.438169028832,19.9870509090646,0.238736018554641,0.073276,0.593141911273712,1.49,0.0672
49,2019,601328.SH,0.8032,0.41973978875,22.8254724600226,0.242521215327947,0.080081,0.620823152895833,1.47,0.0582
50,2010,600000.SH,1.0057,0.0,0.488269937634741,0.0897027614722893,0.056127,0.497109165724785,0.51,0.1082
51,2011,600000.SH,1.122,0.172898633208,0.849258896272818,0.106694789617649,0.055459,0.473528464683786,0.44,0.0947
52,2012,600000.SH,1.177,0.206194416318,1.21117446729781,0.113589003034402,0.056425,0.464521651075321,0.58,0.0787
53,2013,600000.SH,1.2072,0.255337283838,4.59223531809381,0.147916201457542,0.055535,0.464850272459131,0.74,0.0777
54,2014,600000.SH,1.2026,0.325903976958,7.67411421179221,0.184057325681114,0.062005,0.498697039316128,1.06,0.0741
55,2015,600000.SH,1.1038,0.35508963875,10.368031414144,0.203359140859141,0.06248,0.549184578642102,1.56,0.0703
56,2016,600000.SH,0.9848,0.435133022702,18.319136429421,0.278681233684618,0.062819,0.566769491019454,1.89,0.0687
57,2017,600000.SH,0.9171,0.453824218382,25.2393584086658,0.315244723983137,0.069315,0.583232020116357,2.14,0.0695
58,2018,600000.SH,0.9096,0.440841631608,30.288065738935,0.281964752117558,0.074975,0.61908453906332,1.92,0.0672
59,2019,600000.SH,0.8951,0.420906219008,32.2726650527004,0.282015688348317,0.079056,0.633621412988757,2.05,0.0582
60,2010,601998.SH,1.1295,0.209443256568,0.514098305205269,0.11945159824269,0.05774,0.49844884784363,0.67,0.1082
61,2011,601998.SH,1.2727,0.240042006648,0.824330475533835,0.128359259710545,0.063089,0.46164942558611,0.6,0.0947
62,2012,601998.SH,1.0963,0.251397251808,1.28718868868581,0.141305985283041,0.067014,0.535931123162073,0.74,0.0787
63,2013,601998.SH,1.2033,0.287771268992,4.64133595774791,0.182319452185684,0.061958,0.499942615581782,1.03,0.0777
64,2014,601998.SH,1.0657,0.359975796792,7.7800046631705,0.225631587753053,0.062742,0.563776901119343,1.3,0.0741
65,2015,601998.SH,0.9014,0.397813645112,10.2102730574516,0.269713081861958,0.062031,0.623541003486433,1.43,0.0703
66,2016,601998.SH,0.7561,0.425369929518,18.0912317380565,0.309291003559301,0.063939,0.644761056307346,1.69,0.0687
67,2017,601998.SH,0.7387,0.46235506395,27.2822173661793,0.350261237268495,0.070387,0.665817954412028,1.68,0.0695
68,2018,601998.SH,0.7727,0.465987507072,31.4008539054256,0.325364711917663,0.071977,0.669240661433753,1.77,0.0672
69,2019,601998.SH,0.7645,0.438836069742,33.494147708747,0.293740238435003,0.076634,0.698742963152508,1.65,0.0582
70,2010,600016.SH,1.0884,0.265560088248,0.586707403534611,0.164406461307288,0.057085,0.57984589541338,0.69,0.1082
71,2011,600016.SH,1.4036,0.330988182798,1.02285084681283,0.200343280964194,0.05814,0.547336344211344,0.63,0.0947
72,2012,600016.SH,1.4081,0.374715838688,1.18617646756648,0.222312793728426,0.050771,0.507986538778598,0.76,0.0787
73,2013,600016.SH,1.3445,0.407103983352,5.23834468308015,0.298295633971832,0.061283,0.509837253852925,0.85,0.0777
74,2014,600016.SH,1.2585,0.431640989742,8.01965363066158,0.324594190107065,0.059809,0.560940141286936,1.17,0.0741
75,2015,600016.SH,1.1018,0.473281602552,11.5690355096392,0.371013458469949,0.066631,0.609842965841023,1.6,0.0703
76,2016,600016.SH,0.9365,0.47217323595,18.1991584966918,0.377986927050794,0.058107,0.612359948714975,1.68,0.0687
77,2017,600016.SH,0.8632,0.472355530752,26.2449581385293,0.395389993125941,0.06421,0.578260477817592,1.71,0.0695
78,2018,600016.SH,0.8461,0.499998710382,31.7774239168402,0.350906172362576,0.070073,0.621793849549337,1.76,0.0672
79,2019,600016.SH,0.8665,0.494116261758,33.8379796825456,0.331115214437515,0.07765,0.640148303323524,1.56,0.0582
80,2010,600036.SH,1.1529,0.306391268088,0.445368109229234,0.181888805827947,0.055778,0.538170559143702,0.68,0.1082
81,2011,600036.SH,1.3902,0.31686648,0.815750861100169,0.183653094886709,0.059034,0.515240700105037,0.56,0.0947
82,2012,600036.SH,1.4597,0.33342008,1.11788591050047,0.195464073653397,0.05878,0.478622526837616,0.61,0.0787
83,2013,600036.SH,1.3938,0.37015392,4.20774927988977,0.248480911373953,0.066095,0.487866127718621,0.83,0.0777
84,2014,600036.SH,1.2814,0.43132782,6.80497963895145,0.308315231889029,0.066444,0.561270446091051,1.11,0.0741
85,2015,600036.SH,1.1368,0.42715637195,9.55254980020011,0.30144102138845,0.065901,0.631470534220806,1.68,0.0703
86,2016,600036.SH,1.0927,0.449019923328,18.056947877686,0.334241483559611,0.067709,0.628188015787585,1.87,0.0687
87,2017,600036.SH,1.1542,0.4345793208,24.5965233314459,0.337530659147531,0.076252,0.590125714699611,1.61,0.0695
88,2018,600036.SH,1.2392,0.444673984632,28.2400908782431,0.312229108783928,0.080068,0.5710888938062,1.36,0.0672
89,2019,600036.SH,1.3193,0.445672690808,30.4830368169292,0.314310935095609,0.082416,0.566015209322848,1.16,0.0582
90,2010,601166.SH,1.1641,0.217605838712,0.578480509894131,0.120689977512073,0.049736,0.45009205882468,0.42,0.1082
91,2011,601166.SH,1.2022,0.249151305182,0.946530178122034,0.160917183522135,0.047828,0.439919826290296,0.38,0.0947
92,2012,601166.SH,1.2342,0.274776154142,1.17195610547605,0.185183873024871,0.052162,0.47422362729545,0.43,0.0787
93,2013,601166.SH,1.1983,0.321217135488,4.59559448365505,0.234842874774518,0.054323,0.505174448928052,0.76,0.0777
94,2014,601166.SH,1.1759,0.3459208928,7.3005079521123,0.236136968085106,0.058536,0.518086758795177,1.1,0.0741
95,2015,601166.SH,1.0438,0.329942379182,9.85799027809899,0.226808996198694,0.059191,0.593062430352191,1.46,0.0703
96,2016,601166.SH,0.9544,0.404267122688,17.6124393392627,0.258231194424417,0.057531,0.596447217623838,1.65,0.0687
97,2017,601166.SH,0.9236,0.461119665632,24.1396001335236,0.319409927266924,0.064969,0.53696731559207,1.59,0.0695
98,2018,601166.SH,0.933,0.4747189902,28.383452849274,0.317999378353176,0.069424,0.570943918325573,1.57,0.0672
99,2019,601166.SH,0.9627,0.492908309582,31.6414908530062,0.318436848761199,0.07576,0.590387627683279,1.54,0.0582
100,2010,601818.SH,0.9542,0.24469485755,0.721048552848816,0.1433748304424,0.05483,0.522059814821226,0.75,0.1082
101,2011,601818.SH,1.1242,0.2450734392,1.31537500302882,0.161556882793623,0.055404,0.475888137296503,0.64,0.0947
102,2012,601818.SH,1.1773,0.268570102878,1.67156949846334,0.168337010897943,0.050094,0.474080379197543,0.74,0.0787
103,2013,601818.SH,1.1398,0.343068932622,6.99768041386518,0.244156326966866,0.063285,0.475009953143662,0.86,0.0777
104,2014,601818.SH,1.123,0.3813960192,11.7646628985645,0.263107095977145,0.065391,0.510817384217698,1.19,0.0741
105,2015,601818.SH,1.0018,0.406065750078,16.5103497479252,0.301608870529405,0.070553,0.578784658487103,1.61,0.0703
106,2016,601818.SH,0.8455,0.420832224302,26.691263424611,0.323862283871805,0.062302,0.575305464870211,1.6,0.0687
107,2017,601818.SH,0.7797,0.445907132472,37.8891372161586,0.364780082620894,0.074545,0.558181818181818,1.59,0.0695
108,2018,601818.SH,0.7985,0.494310115512,43.7194136228316,0.363445899379738,0.073781,0.628188382134175,1.59,0.0672
109,2019,601818.SH,0.8237,0.355726344222,47.766620026784,0.199718608727742,0.081333,0.658893774658916,1.56,0.0582
110,2010,600015.SH,0.6353,0.130580022318,1.02861823578245,0.073194804855251,0.034123,0.672050489217444,1.18,0.1082
111,2011,600015.SH,0.8073,0.175094946168,1.83258944937423,0.101216261469825,0.051362,0.626651721033395,0.92,0.0947
112,2012,600015.SH,0.9364,0.198225625272,2.55900477308794,0.111822845430146,0.050169,0.56756010704692,0.88,0.0787
113,2013,600015.SH,0.9813,0.240098245662,10.1049539985423,0.152541242385166,0.051075,0.543112408500851,0.9,0.0777
114,2014,600015.SH,1.0228,0.261713961518,17.3901021155437,0.160352439182075,0.054794,0.564708025872278,1.09,0.0741
115,2015,600015.SH,0.9789,0.337240913118,25.8833497310705,0.232033989050275,0.058239,0.576269458228536,1.52,0.0703
116,2016,600015.SH,0.9028,0.355336098168,45.5387514403275,0.257358105088425,0.064588,0.592049980476376,1.67,0.0687
117,2017,600015.SH,0.8194,0.407510435768,61.7395404489648,0.314467633533781,0.066983,0.606576885996626,1.76,0.0695
118,2018,600015.SH,0.8088,0.407124671928,71.0667094434787,0.285598751418842,0.081005,0.630498290113116,1.85,0.0672
119,2019,600015.SH,0.7758,0.36478439955,74.847995010575,0.258977162442722,0.088582,0.675490358061699,1.83,0.0582
120,2010,601169.SH,1.0746,0.137119564472,1.45933534776166,0.0705866231580781,0.058027,0.4493793823308,0.69,0.1082
121,2011,601169.SH,1.0589,0.170926983678,2.38369382799357,0.0861992370910459,0.052675,0.452396861595553,0.53,0.0947
122,2012,601169.SH,1.1254,0.201839680238,3.40188008608417,0.105056520392778,0.063945,0.469573848378286,0.59,0.0787
123,2013,601169.SH,1.0962,0.245731359038,12.6424723409449,0.146646781957346,0.058435,0.453149911218435,0.65,0.0777
124,2014,601169.SH,1.0937,0.255624002168,21.1225521290811,0.141523892933384,0.06291,0.462525082705136,0.86,0.0741
