,Year,Code,ROA,HHI,DF,IBI,CAR,CIR,NPL,GDP
125,2015,601169.SH,1.0022,0.300070532832,28.3482816767656,0.174951581665591,0.063174,0.522787595562714,1.12,0.0703
126,2016,601169.SH,0.9049,0.321152549112,50.7007620234754,0.218823478654788,0.067154,0.529437795010115,1.27,0.0687
127,2017,601169.SH,0.8494,0.329662330862,66.486250995255,0.226852134301344,0.075047,0.545905904315532,1.24,0.0695
128,2018,601169.SH,0.8215,0.284965803192,74.0419726647142,0.174734052342916,0.0748,0.57489907727797,1.46,0.0672
129,2019,601169.SH,0.8132,0.333781211262,82.6074883816093,0.139100919219151,0.075676,0.598425446308353,1.4,0.0582
130,2010,601229.SH,0.9737,0.108550323072,1.88787371077634,0.0692691576399647,0.052026,0.561340127364924,1.12,0.1082
131,2011,601229.SH,0.9499,0.123362644302,3.47666966336277,0.0849571653458667,0.053567,0.528851116952957,0.98,0.0947
132,2012,601229.SH,1.0209,0.1711232798,4.66395100672484,0.0877998754035752,0.051357,0.472759640415802,0.84,0.0787
133,2013,601229.SH,1.0431,0.199445651328,17.2850696958046,0.116741558349701,0.05723,0.461579812078636,0.82,0.0777
134,2014,601229.SH,1.053,0.267870187022,27.1168809995047,0.148849436985372,0.062293,0.499294600669951,0.98,0.0741
135,2015,601229.SH,0.9894,0.3020788472,36.0903586373465,0.178444432171493,0.063755,0.519944883958053,1.19,0.0703
136,2016,601229.SH,0.8941,0.361606238382,61.1266757211623,0.193215204749458,0.065951,0.528806721301899,1.17,0.0687
137,2017,601229.SH,0.8609,0.487650995832,85.6858240808409,0.210653238126549,0.081308,0.517411924528302,1.15,0.0695
138,2018,601229.SH,0.9421,0.432500536958,93.9454546279454,0.156979714482889,0.079534,0.565156802046673,1.14,0.0672
139,2019,601229.SH,0.9535,0.475776234168,101.069163340526,0.152486156913968,0.078991,0.553608824366284,1.16,0.0582
140,2010,600926.SH,1.0403,0.0,4.92113852517434,0.0857525075610617,0.054906,0.516646297821098,0.65,0.1082
141,2011,600926.SH,1.1667,0.187833069048,9.34666523077839,0.087904964145467,0.058946,0.553101485619665,0.59,0.0947
142,2012,600926.SH,1.2507,0.175144922942,11.7236371325682,0.106020522481763,0.053718,0.544702688730666,0.97,0.0787
143,2013,600926.SH,1.1422,0.118832479038,49.6783313348338,0.128381272902663,0.060399,0.514399061306621,1.19,0.0777
144,2014,600926.SH,0.9256,0.265451885582,76.8894979237567,0.151584968256958,0.062347,0.608397296846321,1.2,0.0741
145,2015,600926.SH,0.7688,0.196810040192,95.8930386677769,0.117935165068672,0.05838,0.637431332302478,1.36,0.0703
146,2016,600926.SH,0.63,0.253686444062,148.94003141316,0.167415571487496,0.053526,0.656280128509471,1.62,0.0687
147,2017,600926.SH,0.5857,0.228126519168,185.878796248915,0.124827214067607,0.062197,0.646895659957285,1.59,0.0695
148,2018,600926.SH,0.617,0.0,206.827792574198,0.0799389712599667,0.062064,0.659479801527595,1.45,0.0672
149,2019,600926.SH,0.6788,0.3948613632,220.785664762738,0.0894500458937367,0.061075,0.658617461840351,1.34,0.0582
150,2010,601077.SH,1.28,0.0759771203819999,3.74721143556476,0.0395706169818934,0.076752,0.488581674602372,2.38,0.1082
151,2011,601077.SH,1.3575,0.089549383352,6.61214508368742,0.0610270573567219,0.079608,0.507831840625422,1.44,0.0947
152,2012,601077.SH,1.3829,0.0659563745279999,8.78239432826059,0.0362221239909456,0.072639,0.48593370951653,0.98,0.0787
153,2013,601077.SH,1.2861,0.061037987712,33.6354573607188,0.0461337659492259,0.071336,0.517531689182895,0.8,0.0777
154,2014,601077.SH,1.2161,0.125243663232,52.0287168139798,0.0588074934277427,0.066272,0.54277187807426,0.78,0.0741
155,2015,601077.SH,1.083,0.139942414392,72.9626383022155,0.0757563226438066,0.064663,0.56542279258121,0.98,0.0703
156,2016,601077.SH,1.0534,0.19629120155,133.597668293624,0.106867026623892,0.064971,0.512670340778308,0.96,0.0687
157,2017,601077.SH,1.0548,0.188816817198,171.013191222291,0.105805518743431,0.069862,0.501929109649717,0.98,0.0695
158,2018,601077.SH,0.9878,0.367121626872,200.395944516264,0.0871969245103119,0.073995,0.549885723103384,1.29,0.0672
159,2019,601077.SH,1.0089,0.233574819422,219.465505108839,0.0966528054351646,0.085234,0.541100743865615,1.25,0.0582
160,2010,601009.SH,1.2496,0.225826912992,4.83086116646786,0.0968355936236022,0.085031,0.466816698802947,0.97,0.1082
161,2011,601009.SH,1.2857,0.224712063968,8.09108316856327,0.104804540186287,0.076808,0.476051049642615,0.78,0.0947
162,2012,601009.SH,1.293,0.26689890795,11.082277474922,0.108291628092114,0.071608,0.456046168446807,0.83,0.0787
163,2013,601009.SH,1.1649,0.232904289272,38.9349525727353,0.121100096150658,0.061259,0.469218737026748,0.89,0.0777
164,2014,601009.SH,1.1232,0.264744530078,56.1807378303536,0.132876140238002,0.056615,0.561593543582134,0.94,0.0741
165,2015,601009.SH,1.0254,0.273947188728,64.9673106355686,0.154727293033444,0.064628,0.60672837364786,0.83,0.0703
166,2016,601009.SH,0.8932,0.306213258542,100.855359662949,0.161783417786317,0.058202,0.605135032288819,0.87,0.0687
167,2017,601009.SH,0.8853,0.291114546048,135.738739468199,0.164635589923463,0.05901,0.520984961394982,0.86,0.0695
168,2018,601009.SH,0.9384,0.320757601152,153.225083980617,0.155421826830708,0.062583,0.536168937981928,0.89,0.0672
169,2019,601009.SH,0.9716,0.444915884472,168.299871396121,0.146032237026466,0.06467,0.539539168972815,0.89,0.0582
170,2010,601838.SH,1.2676,0.0505835336880001,7.07111646518721,0.022347561225914,0.059561,0.498154123187989,0.73,0.1082
171,2011,601838.SH,1.4449,0.0901543922880002,12.5693110677911,0.0277585849164926,0.060252,0.416005881108952,0.62,0.0947
172,2012,601838.SH,1.2054,0.077827935038,15.8552278702114,0.02756164237184,0.053604,0.4319453784054,0.62,0.0787
173,2013,601838.SH,1.1854,0.11217494795,64.6823969918475,0.0351845988041297,0.058231,0.460407511891187,0.72,0.0777
174,2014,601838.SH,1.2653,0.153273711678,107.23006720428,0.0426379086691731,0.060408,0.502499646818796,1.19,0.0741
175,2015,601838.SH,0.9076,0.197782638942,162.671495179652,0.0546523275643769,0.062876,0.629555876036416,2.35,0.0703
176,2016,601838.SH,0.7571,0.224593329888,297.273758600853,0.0753445653377469,0.060708,0.638870016340723,2.21,0.0687
177,2017,601838.SH,0.9838,0.351374118368,356.469336226941,0.0558723298492205,0.057422,0.518972210828123,1.69,0.0695
178,2018,601838.SH,1.0042,0.276481671168,386.97099338562,0.0351711034843914,0.063377,0.560634781490803,1.54,0.0672
179,2019,601838.SH,1.0576,0.307288780512,404.917224514316,0.0406459222885581,0.063667,0.510109971976556,1.43,0.0582
180,2010,601577.SH,1.1756,0.195149132222,12.837856078035,0.0802039581405282,0.053119,0.499500006607842,1.33,0.1082
181,2011,601577.SH,1.3714,0.18529788875,18.4213396676887,0.0882235454193661,0.045867,0.470877741129374,0.76,0.0947
182,2012,601577.SH,1.3589,0.186475702752,23.4323583155689,0.0629259935650853,0.04518,0.458063826248129,0.72,0.0787
183,2013,601577.SH,1.2355,0.1406854008,87.3781081853692,0.0670522078726316,0.047484,0.457183935961453,0.93,0.0777
184,2014,601577.SH,1.1672,0.161263072128,148.642021265595,0.0602150572117605,0.060278,0.515907382886591,1.28,0.0741
185,2015,601577.SH,1.1028,0.228458244318,183.273294684044,0.0862131112005698,0.06166,0.577415388675307,1.22,0.0703
186,2016,601577.SH,0.9723,0.200432587278,279.787418927163,0.102540901471429,0.051993,0.574687160119041,1.19,0.0687
187,2017,601577.SH,0.9332,0.159689149998,329.1933812196,0.111575541314565,0.049483,0.586733027913282,1.24,0.0695
188,2018,601577.SH,0.9181,0.296301873912,361.734257709625,0.142771401550576,0.058857,0.595619486070772,1.29,0.0672
189,2019,601577.SH,0.9319,0.421193911992,375.582805344087,0.133138427525532,0.067496,0.618952643659789,1.22,0.0582
190,2010,601997.SH,1.4545,0.391911678648,16.8651978918187,0.0374869184422024,0.058849,0.483580739882749,1.13,0.1082
191,2011,601997.SH,1.5884,0.106070693502,27.7823607841742,0.0304208269933472,0.064497,0.451702831079305,0.73,0.0947
192,2012,601997.SH,1.722,0.0508792822319999,36.0388038598032,0.0280725758994443,0.062774,0.418450122804792,0.6,0.0787
193,2013,601997.SH,1.5847,-0.114665498752,137.903887029136,0.0311680629276716,0.06456,0.419151758730857,0.59,0.0777
194,2014,601997.SH,1.7566,0.170193194222,206.278647988242,0.0576334116649355,0.067582,0.482543065545996,0.81,0.0741
195,2015,601997.SH,1.6434,0.20653773395,219.566572227851,0.0977953323082362,0.058582,0.494821023232393,1.48,0.0703
196,2016,601997.SH,1.2085,0.294333806048,288.244675619838,0.154005808592375,0.056782,0.586841807381305,1.42,0.0687
197,2017,601997.SH,1.097,0.230140280832,333.759701116787,0.136305878653175,0.053247,0.58926971344119,1.34,0.0695
198,2018,601997.SH,1.0809,0.227458031598,378.482094876342,0.129698405691952,0.069199,0.562596478686119,1.35,0.0672
199,2019,601997.SH,1.1277,0.310883809982,403.462324158191,0.0987632045750367,0.069644,0.567143940158331,1.45,0.0582
200,2010,600928.SH,1.1506,0.107175884288,13.2288117090067,0.0565722295087504,0.055121,0.391818447234262,1.13,0.1082
201,2011,600928.SH,1.2086,0.077927168462,22.275836208512,0.0650971335624847,0.051206,0.423589559121227,0.98,0.0947
202,2012,600928.SH,1.2974,0.102710151168,31.216865366248,0.0621654563980859,0.055461,0.384824701464007,0.76,0.0787
203,2013,600928.SH,1.2764,0.12513457155,126.421020898367,0.0856052424394085,0.061571,0.387592359508659,0.65,0.0777
204,2014,600928.SH,1.2707,0.148153594752,212.84762826598,0.0920790742763182,0.064533,0.409680005262991,0.79,0.0741
205,2015,600928.SH,1.1037,0.22782558,249.01963398399,0.123871028525667,0.068335,0.445946462633875,1.18,0.0703
206,2016,600928.SH,0.9409,0.295856113662,492.273982356589,0.167545817498565,0.072961,0.396822234618075,1.27,0.0687
207,2017,600928.SH,0.9295,0.264883069152,661.625046792139,0.161521726227633,0.075501,0.47258897469002,1.24,0.0695
208,2018,600928.SH,0.9904,0.250399201118,782.372575019776,0.138332728454351,0.081941,0.514091165430834,1.2,0.0672
209,2019,600928.SH,1.0267,0.295088624862,812.483074766554,0.0930811890919953,0.084878,0.534262924926592,1.18,0.0582
210,2010,600908.SH,1.2077,0.0,425.26010267276035,0.0,0.056429,0.4824699222093055,1.28,0.1082
211,2011,600908.SH,1.3887,0.059601366968,38.0371305789668,0.0316682219256074,0.070761,0.430676919492019,0.9,0.0947
212,2012,600908.SH,1.3058,0.089812091742,52.2113064200722,0.0438754516515348,0.067877,0.43617923936237,0.88,0.0787
213,2013,600908.SH,1.1893,0.0960289456319998,201.751513524335,0.05288406906944,0.067358,0.435949981789486,1.02,0.0777
214,2014,600908.SH,0.9752,0.135227555022,308.242844434336,0.0615154625373734,0.061391,0.514411998367211,1.15,0.0741
215,2015,600908.SH,0.7447,0.178147727328,452.85055135204,0.0781142639012597,0.062415,0.541798623889577,1.17,0.0703
216,2016,600908.SH,0.7359,0.153032175608,860.929963227138,0.086368797867457,0.070386,0.56534411992148,1.39,0.0687
217,2017,600908.SH,0.7587,0.109726243902,1129.62699483267,0.0700656698539006,0.067484,0.561116059843028,1.38,0.0695
218,2018,600908.SH,0.738,0.120622011822,1233.85192248379,0.0383477635772585,0.070278,0.588090270598776,1.24,0.0672
219,2019,600908.SH,0.7916,0.282192079928,1396.4365360666,0.0454652027220221,0.071949,0.587002890067265,1.21,0.0582
220,2010,601128.SH,1.2361,0.1276845368,20.5417571687853,0.0316328689954101,0.077255,0.506216340093961,0.95,0.1082
221,2011,601128.SH,1.2894,0.121621336638,31.8221710089973,0.0472684488241973,0.067022,0.535761206050386,0.69,0.0947
222,2012,601128.SH,1.2161,0.12128025195,51.3814946512673,0.024660364915366,0.07596,0.524578931365706,0.83,0.0787
223,2013,601128.SH,1.2557,0.0829835657419999,200.205655039733,0.0294923687569984,0.069245,0.501184102577115,0.97,0.0777
224,2014,601128.SH,1.0753,0.164866792398,316.710989812332,0.0237559707565992,0.070012,0.579594684017172,0.96,0.0741
225,2015,601128.SH,0.935,0.18770505195,482.010457322859,0.0330505467967111,0.074444,0.654738108193247,1.42,0.0703
226,2016,601128.SH,0.8845,0.206620467998,825.501963663758,0.085827085048367,0.075809,0.712419191569332,1.4,0.0687
227,2017,601128.SH,0.9586,0.251185668408,1062.23445852924,0.1113328040804,0.071785,0.668253037486516,1.14,0.0695
228,2018,601128.SH,1.0141,0.233906120928,1142.74080353094,0.0907606591940439,0.076999,0.660032763126715,0.99,0.0672
229,2019,601128.SH,1.0807,0.2357500398,1223.223589637,0.0832073488278798,0.091568,0.646673028137873,0.96,0.0582
230,2010,002839.SZ,1.6079,0.0,20.3073430973063,0.0279273114355231,0.070364,0.388383126992364,0.65,0.1082
231,2011,002839.SZ,1.501,0.1541708222,32.4574380490005,0.0247801307071403,0.063475,0.410877523611472,0.69,0.0947
232,2012,002839.SZ,1.416,0.192402244832,53.2659060593533,0.0231368874357032,0.069557,0.443932948275614,1.0,0.0787
233,2013,002839.SZ,1.4324,0.239008434872,232.877316371413,0.0237905526140848,0.075395,0.472211440383452,1.08,0.0777
234,2014,002839.SZ,0.998,0.207465524798,447.407212676686,0.0251684975853102,0.088093,0.656026193669017,1.51,0.0741
235,2015,002839.SZ,0.8827,0.294753036398,635.065962467966,0.0438607081874472,0.085331,0.706452792857202,1.96,0.0703
236,2016,002839.SZ,0.8066,0.311071955,1189.8665508663,0.0586164716348457,0.081244,0.726157987676122,1.96,0.0687
237,2017,002839.SZ,0.7802,0.220941713408,1501.36804772819,0.0599796968171775,0.080241,0.704091018321332,1.78,0.0695
238,2018,002839.SZ,0.755,0.173765122232,1679.20931718765,0.0331070338281703,0.087423,0.715534806169237,1.47,0.0672
239,2019,002839.SZ,0.7928,0.294440256702,1837.54389056073,0.0347970350770971,0.086701,0.74914089347079,1.38,0.0582
240,2010,603323.SH,1.5207,0.0,26.7488230517857,0.0191752800206222,0.089369,0.455746984986463,0.99,0.1082
241,2011,603323.SH,1.6338,0.0775853153420001,42.219735948883,0.0181870756700422,0.078959,0.429501008506533,0.74,0.0947
242,2012,603323.SH,1.567,0.125897879928,66.6355584129754,0.0304196811966605,0.082909,0.508056282380652,1.66,0.0787
243,2013,603323.SH,1.6261,0.140510749262,270.471534311395,0.0300125686017542,0.086987,0.476015325670498,1.35,0.0777
244,2014,603323.SH,1.2486,0.10140943875,519.81177002365,0.0257983861802478,0.097032,0.603956362319497,1.69,0.0741
245,2015,603323.SH,0.917,0.1110203598,731.95438538644,0.0302940033674395,0.091836,0.682132347042606,1.86,0.0703
246,2016,603323.SH,0.8626,0.139037242878,1319.01860098962,0.0350054967308916,0.095591,0.657916534756946,1.78,0.0687
247,2017,603323.SH,0.8368,0.143183513088,1625.89030352192,0.035964474528447,0.087816,0.684488937963822,1.64,0.0695
248,2018,603323.SH,0.7642,0.257943704238,1631.24440142793,0.0371570078745259,0.080582,0.714872648069242,1.31,0.0672
249,2019,603323.SH,0.7539,0.282401913182,1795.0809858607,0.0592982891505773,0.091399,0.715261130866498,1.33,0.0582
